"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"22","静岡県","22101","静岡市葵区","221010001000","相生町","34.978092","138.392224","0","1"
"22","静岡県","22101","静岡市葵区","221010002000","相淵","35.126350","138.354837","0","1"
"22","静岡県","22101","静岡市葵区","221010003000","相俣","35.027922","138.234498","0","1"
"22","静岡県","22101","静岡市葵区","221010004000","葵町","34.977695","138.372563","0","1"
"22","静岡県","22101","静岡市葵区","221010005000","赤沢","35.036017","138.264657","0","1"
"22","静岡県","22101","静岡市葵区","221010006000","赤松","35.023966","138.394607","0","1"
"22","静岡県","22101","静岡市葵区","221010007000","秋山町","35.004582","138.361121","0","1"
"22","静岡県","22101","静岡市葵区","221010008001","上土一丁目","35.001594","138.413240","0","3"
"22","静岡県","22101","静岡市葵区","221010008002","上土二丁目","35.003491","138.412465","0","3"
"22","静岡県","22101","静岡市葵区","221010009000","足久保奥組","35.070405","138.311447","0","1"
"22","静岡県","22101","静岡市葵区","221010010000","足久保口組","35.048170","138.347278","0","1"
"22","静岡県","22101","静岡市葵区","221010011000","東町","34.976640","138.397468","0","1"
"22","静岡県","22101","静岡市葵区","221010012000","安倍口新田","35.018961","138.359493","0","1"
"22","静岡県","22101","静岡市葵区","221010013000","安倍口団地","35.020746","138.366516","0","1"
"22","静岡県","22101","静岡市葵区","221010014000","安倍町","34.981184","138.375539","0","1"
"22","静岡県","22101","静岡市葵区","221010015001","安西一丁目","34.980328","138.373692","0","3"
"22","静岡県","22101","静岡市葵区","221010015002","安西二丁目","34.979119","138.372083","0","3"
"22","静岡県","22101","静岡市葵区","221010015003","安西三丁目","34.978322","138.370554","0","3"
"22","静岡県","22101","静岡市葵区","221010015004","安西四丁目","34.976678","138.367653","0","3"
"22","静岡県","22101","静岡市葵区","221010015005","安西五丁目","34.976135","138.364844","0","3"
"22","静岡県","22101","静岡市葵区","221010016001","安東一丁目","34.985381","138.384532","0","3"
"22","静岡県","22101","静岡市葵区","221010016002","安東二丁目","34.988421","138.384259","0","3"
"22","静岡県","22101","静岡市葵区","221010016003","安東三丁目","34.992601","138.385366","0","3"
"22","静岡県","22101","静岡市葵区","221010017000","安東柳町","34.985062","138.378982","0","1"
"22","静岡県","22101","静岡市葵区","221010018000","井川","35.214731","138.231669","0","1"
"22","静岡県","22101","静岡市葵区","221010019000","池ヶ谷","35.006797","138.381406","0","1"
"22","静岡県","22101","静岡市葵区","221010020000","池ヶ谷東","35.006051","138.385957","0","1"
"22","静岡県","22101","静岡市葵区","221010021000","一番町","34.975961","138.372844","0","1"
"22","静岡県","22101","静岡市葵区","221010022000","井宮町","34.986836","138.371138","0","1"
"22","静岡県","22101","静岡市葵区","221010023000","伊呂波町","35.001850","138.363687","0","1"
"22","静岡県","22101","静岡市葵区","221010024000","岩崎","35.239651","138.243951","0","1"
"22","静岡県","22101","静岡市葵区","221010025000","牛田","35.016228","138.400147","0","1"
"22","静岡県","22101","静岡市葵区","221010026000","牛妻","35.069589","138.381213","0","1"
"22","静岡県","22101","静岡市葵区","221010027000","内牧","35.026717","138.339791","0","1"
"22","静岡県","22101","静岡市葵区","221010028000","有東木","35.205167","138.376984","0","1"
"22","静岡県","22101","静岡市葵区","221010029000","産女","34.973507","138.327324","0","1"
"22","静岡県","22101","静岡市葵区","221010030000","梅ヶ島","35.278024","138.325934","0","1"
"22","静岡県","22101","静岡市葵区","221010031000","梅屋町","34.972667","138.377775","0","1"
"22","静岡県","22101","静岡市葵区","221010032000","漆山","35.020061","138.397074","0","1"
"22","静岡県","22101","静岡市葵区","221010033000","遠藤新田","35.029097","138.365266","0","1"
"22","静岡県","22101","静岡市葵区","221010034000","追手町","34.977739","138.380353","0","1"
"22","静岡県","22101","静岡市葵区","221010035000","大岩","34.994859","138.376142","0","1"
"22","静岡県","22101","静岡市葵区","221010036001","大岩一丁目","34.992954","138.381052","0","3"
"22","静岡県","22101","静岡市葵区","221010036002","大岩二丁目","34.997301","138.381374","0","3"
"22","静岡県","22101","静岡市葵区","221010036003","大岩三丁目","34.997869","138.377425","0","3"
"22","静岡県","22101","静岡市葵区","221010036004","大岩四丁目","35.002284","138.380701","0","3"
"22","静岡県","22101","静岡市葵区","221010037000","大岩町","34.993095","138.378589","0","1"
"22","静岡県","22101","静岡市葵区","221010038000","大岩本町","34.988679","138.378289","0","1"
"22","静岡県","22101","静岡市葵区","221010039000","大岩宮下町","34.985944","138.378893","0","1"
"22","静岡県","22101","静岡市葵区","221010040000","大鋸町","34.972594","138.374836","0","1"
"22","静岡県","22101","静岡市葵区","221010041000","大沢","35.152744","138.290136","0","1"
"22","静岡県","22101","静岡市葵区","221010042000","太田町","34.983674","138.392916","0","1"
"22","静岡県","22101","静岡市葵区","221010043000","大原","35.016607","138.284154","0","1"
"22","静岡県","22101","静岡市葵区","221010044000","大間","35.147093","138.242931","0","1"
"22","静岡県","22101","静岡市葵区","221010045000","奥池ヶ谷","35.145593","138.317574","0","1"
"22","静岡県","22101","静岡市葵区","221010046000","奥仙俣","35.209456","138.303399","0","1"
"22","静岡県","22101","静岡市葵区","221010047000","落合","35.106335","138.313805","0","1"
"22","静岡県","22101","静岡市葵区","221010048000","音羽町","34.979506","138.395339","0","1"
"22","静岡県","22101","静岡市葵区","221010049000","鍵穴","35.045630","138.241697","0","1"
"22","静岡県","22101","静岡市葵区","221010050000","柿島","35.150527","138.335715","0","1"
"22","静岡県","22101","静岡市葵区","221010051000","籠上","34.990972","138.370734","0","1"
"22","静岡県","22101","静岡市葵区","221010052001","春日一丁目","34.978682","138.398289","0","3"
"22","静岡県","22101","静岡市葵区","221010052002","春日二丁目","34.978763","138.401372","0","3"
"22","静岡県","22101","静岡市葵区","221010052003","春日三丁目","34.981055","138.401556","0","3"
"22","静岡県","22101","静岡市葵区","221010053000","春日町","34.981981","138.395091","0","1"
"22","静岡県","22101","静岡市葵区","221010054000","片羽町","34.982620","138.373979","0","1"
"22","静岡県","22101","静岡市葵区","221010055000","加藤島","35.009668","138.401600","0","1"
"22","静岡県","22101","静岡市葵区","221010056000","門屋","35.052109","138.380727","0","1"
"22","静岡県","22101","静岡市葵区","221010057000","上足洗","34.987875","138.396297","0","1"
"22","静岡県","22101","静岡市葵区","221010058001","上足洗一丁目","34.989753","138.394799","0","3"
"22","静岡県","22101","静岡市葵区","221010058002","上足洗二丁目","34.992865","138.392022","0","3"
"22","静岡県","22101","静岡市葵区","221010058003","上足洗三丁目","34.995807","138.393655","0","3"
"22","静岡県","22101","静岡市葵区","221010058004","上足洗四丁目","34.992527","138.395812","0","3"
"22","静岡県","22101","静岡市葵区","221010059000","上桶屋町","34.977906","138.374338","0","1"
"22","静岡県","22101","静岡市葵区","221010060000","上落合","35.174910","138.313140","0","1"
"22","静岡県","22101","静岡市葵区","221010061000","上沓谷町","34.984963","138.396002","0","1"
"22","静岡県","22101","静岡市葵区","221010062000","上石町","34.973973","138.378570","0","1"
"22","静岡県","22101","静岡市葵区","221010063000","上坂本","35.248778","138.263370","0","1"
"22","静岡県","22101","静岡市葵区","221010064000","上新富町","34.971158","138.371187","0","1"
"22","静岡県","22101","静岡市葵区","221010065000","上伝馬","35.010395","138.372307","0","1"
"22","静岡県","22101","静岡市葵区","221010066000","桂山","35.102710","138.336830","0","1"
"22","静岡県","22101","静岡市葵区","221010067001","唐瀬一丁目","35.009435","138.385751","0","3"
"22","静岡県","22101","静岡市葵区","221010067002","唐瀬二丁目","35.012203","138.389882","0","3"
"22","静岡県","22101","静岡市葵区","221010067003","唐瀬三丁目","35.013425","138.384317","0","3"
"22","静岡県","22101","静岡市葵区","221010068000","川合","35.012082","138.407447","0","1"
"22","静岡県","22101","静岡市葵区","221010069001","川合一丁目","35.001184","138.420244","0","3"
"22","静岡県","22101","静岡市葵区","221010069002","川合二丁目","35.004671","138.415699","0","3"
