"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"03","岩手県","03201","盛岡市","032010001001","青山一丁目","39.721677","141.11318","0","3"
"03","岩手県","03201","盛岡市","032010001002","青山二丁目","39.724726","141.114235","0","3"
"03","岩手県","03201","盛岡市","032010001003","青山三丁目","39.727935","141.115068","0","3"
"03","岩手県","03201","盛岡市","032010001004","青山四丁目","39.73147","141.116478","0","3"
"03","岩手県","03201","盛岡市","032010002000","浅岸","39.737119","141.279988","0","1"
"03","岩手県","03201","盛岡市","032010003001","浅岸一丁目","39.711972","141.175691","0","3"
"03","岩手県","03201","盛岡市","032010003002","浅岸二丁目","39.713971","141.175206","0","3"
"03","岩手県","03201","盛岡市","032010003003","浅岸三丁目","39.712412","141.181911","0","3"
"03","岩手県","03201","盛岡市","032010004000","愛宕下","39.713089","141.161136","0","1"
"03","岩手県","03201","盛岡市","032010005000","愛宕町","39.709894","141.159483","0","1"
"03","岩手県","03201","盛岡市","032010006000","安倍館町","39.719547","141.125885","0","1"
"03","岩手県","03201","盛岡市","032010007000","飯岡新田","39.665898","141.137034","0","1"
"03","岩手県","03201","盛岡市","032010008000","砂子沢","39.597886","141.354936","0","1"
"03","岩手県","03201","盛岡市","032010009000","猪去一本木","39.684935","141.075894","0","1"
"03","岩手県","03201","盛岡市","032010010000","猪去大橋","39.683318","141.072521","0","1"
"03","岩手県","03201","盛岡市","032010011000","猪去大道","39.681861","141.068749","0","1"
"03","岩手県","03201","盛岡市","032010012000","猪去三枚橋","39.688983","141.065954","0","1"
"03","岩手県","03201","盛岡市","032010013000","猪去外久保","39.687634","141.070611","0","1"
"03","岩手県","03201","盛岡市","032010014000","猪去早俄上","39.689118","141.060752","0","1"
"03","岩手県","03201","盛岡市","032010015000","猪去畑中","39.680579","141.066259","0","1"
"03","岩手県","03201","盛岡市","032010016000","猪去藤松","39.684659","141.068221","0","1"
"03","岩手県","03201","盛岡市","032010017000","猪去的場","39.68556","141.070708","0","1"
"03","岩手県","03201","盛岡市","032010018000","猪去米倉","39.689993","141.070032","0","1"
"03","岩手県","03201","盛岡市","032010019000","稲荷町","39.709886","141.112861","0","1"
"03","岩手県","03201","盛岡市","032010020000","岩清水","39.720807","141.161748","0","1"
