"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"11","埼玉県","11101","さいたま市西区","111010001000","大字平方領々家","35.924498","139.562208","0","1"
"11","埼玉県","11101","さいたま市西区","111010002000","大字峰岸","35.930675","139.556710","0","1"
"11","埼玉県","11101","さいたま市西区","111010003000","大字指扇領辻","35.929725","139.558552","0","1"
"11","埼玉県","11101","さいたま市西区","111010004001","湯木町一丁目","35.894772","139.555176","0","3"
"11","埼玉県","11101","さいたま市西区","111010005000","大字植田谷本村新田","35.892473","139.561824","0","1"
"11","埼玉県","11101","さいたま市西区","111010004002","湯木町二丁目","35.898112","139.554108","0","3"
"11","埼玉県","11101","さいたま市西区","111010006001","塚本町一丁目","35.880640","139.562086","0","3"
"11","埼玉県","11101","さいたま市西区","111010007000","大字指扇領別所","35.920966","139.567916","0","1"
"11","埼玉県","11101","さいたま市西区","111010008000","プラザ","35.907541","139.578207","0","1"
"11","埼玉県","11101","さいたま市西区","111010009000","大字水判土","35.899736","139.593336","0","1"
"11","埼玉県","11101","さいたま市西区","111010006003","塚本町三丁目","35.873896","139.565408","0","3"
"11","埼玉県","11101","さいたま市西区","111010010000","大字飯田","35.897075","139.586835","0","1"
"11","埼玉県","11101","さいたま市西区","111010011000","大字塚本","35.876907","139.570511","0","1"
"11","埼玉県","11101","さいたま市西区","111010006002","塚本町二丁目","35.876704","139.563659","0","3"
"11","埼玉県","11101","さいたま市西区","111010012000","大字土屋","35.911000","139.570230","0","1"
"11","埼玉県","11101","さいたま市西区","111010013000","大字三条町","35.887092","139.586951","0","1"
"11","埼玉県","11101","さいたま市西区","111010014000","大字昭和","35.883919","139.576179","0","1"
"11","埼玉県","11101","さいたま市西区","111010015000","大字西新井","35.941418","139.586906","0","1"
"11","埼玉県","11101","さいたま市西区","111010016000","大字内野本郷","35.935142","139.592301","0","1"
"11","埼玉県","11101","さいたま市西区","111010017000","大字植田谷本","35.890440","139.591449","0","1"
"11","埼玉県","11101","さいたま市西区","111010018000","大字中野林","35.892519","139.588012","0","1"
"11","埼玉県","11101","さいたま市西区","111010019000","大字飯田新田","35.886947","139.555376","0","1"
"11","埼玉県","11101","さいたま市西区","111010020000","大字佐知川","35.902849","139.583395","0","1"
"11","埼玉県","11101","さいたま市西区","111010021005","三橋五丁目","35.907451","139.593922","0","3"
"11","埼玉県","11101","さいたま市西区","111010022000","大字島根","35.883134","139.591895","0","1"
"11","埼玉県","11101","さいたま市西区","111010023000","大字清河寺","35.934798","139.584113","0","1"
"11","埼玉県","11101","さいたま市西区","111010021006","三橋六丁目","35.917037","139.590043","0","3"
"11","埼玉県","11101","さいたま市西区","111010024000","宮前町","35.926125","139.589900","0","1"
"11","埼玉県","11101","さいたま市西区","111010025000","大字宝来","35.925786","139.555998","0","1"
"11","埼玉県","11101","さいたま市西区","111010026000","大字中釘","35.935582","139.568156","0","1"
"11","埼玉県","11101","さいたま市西区","111010027000","大字高木","35.939167","139.576892","0","1"
"11","埼玉県","11101","さいたま市西区","111010028000","大字指扇","35.914041","139.579368","0","1"
"11","埼玉県","11101","さいたま市西区","111010029000","大字二ツ宮","35.890494","139.569985","0","1"
"11","埼玉県","11101","さいたま市西区","111010030000","大字西遊馬","35.906818","139.561443","0","1"
"11","埼玉県","11101","さいたま市西区","111010031001","西大宮一丁目","35.922859","139.577160","0","3"
"11","埼玉県","11101","さいたま市西区","111010031003","西大宮三丁目","35.928248","139.578974","0","3"
"11","埼玉県","11101","さいたま市西区","111010031002","西大宮二丁目","35.927905","139.573189","0","3"
"11","埼玉県","11101","さいたま市西区","111010031004","西大宮四丁目","35.933751","139.577020","0","3"
"11","埼玉県","11102","さいたま市北区","111020001000","大字上加","35.931542","139.605794","0","1"
"11","埼玉県","11102","さいたま市北区","111020002000","土呂町","35.926430","139.636515","0","1"
"11","埼玉県","11102","さいたま市北区","111020003002","植竹町二丁目","35.931069","139.626706","0","3"
"11","埼玉県","11102","さいたま市北区","111020004001","見沼一丁目","35.924881","139.640558","0","3"
"11","埼玉県","11102","さいたま市北区","111020004003","見沼三丁目","35.938930","139.639495","0","3"
"11","埼玉県","11102","さいたま市北区","111020005001","東大成町一丁目","35.920687","139.621887","0","3"
"11","埼玉県","11102","さいたま市北区","111020004002","見沼二丁目","35.931087","139.640043","0","3"
"11","埼玉県","11102","さいたま市北区","111020003001","植竹町一丁目","35.925574","139.624524","0","3"
"11","埼玉県","11102","さいたま市北区","111020006003","宮原町三丁目","35.937952","139.610941","0","3"
"11","埼玉県","11102","さいたま市北区","111020007000","盆栽町","35.925697","139.630673","0","1"
"11","埼玉県","11102","さいたま市北区","111020008001","土呂町一丁目","35.934291","139.630809","0","3"
"11","埼玉県","11102","さいたま市北区","111020005002","東大成町二丁目","35.929424","139.617848","0","3"
"11","埼玉県","11102","さいたま市北区","111020009002","櫛引町二丁目","35.920025","139.608347","0","3"
"11","埼玉県","11102","さいたま市北区","111020008002","土呂町二丁目","35.932885","139.634988","0","3"
"11","埼玉県","11102","さいたま市北区","111020010004","大成町四丁目","35.926550","139.614553","0","3"
"11","埼玉県","11102","さいたま市北区","111020011000","今羽町","35.952589","139.622446","0","1"
"11","埼玉県","11102","さいたま市北区","111020012003","日進町三丁目","35.937618","139.603031","0","3"
"11","埼玉県","11102","さいたま市北区","111020006002","宮原町二丁目","35.941848","139.616449","0","3"
"11","埼玉県","11102","さいたま市北区","111020006004","宮原町四丁目","35.947573","139.608471","0","3"
"11","埼玉県","11102","さいたま市北区","111020006001","宮原町一丁目","35.936042","139.620195","0","3"
"11","埼玉県","11102","さいたま市北区","111020013000","別所町","35.956472","139.596157","0","1"
"11","埼玉県","11102","さいたま市北区","111020014000","奈良町","35.947255","139.601082","0","1"
"11","埼玉県","11102","さいたま市北区","111020012001","日進町一丁目","35.920781","139.600034","0","3"
"11","埼玉県","11102","さいたま市北区","111020012002","日進町二丁目","35.929758","139.605349","0","3"
"11","埼玉県","11102","さいたま市北区","111020015002","吉野町二丁目","35.959199","139.608683","0","3"
"11","埼玉県","11102","さいたま市北区","111020015001","吉野町一丁目","35.953009","139.613396","0","3"
"11","埼玉県","11102","さいたま市北区","111020016000","本郷町","35.942284","139.628895","0","1"
"11","埼玉県","11103","さいたま市大宮区","111030001006","大原六丁目","35.898711","139.641737","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030002002","仲町二丁目","35.905344","139.627808","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030003002","下町二丁目","35.903529","139.628345","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030004002","大門町二丁目","35.907308","139.627329","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030003001","下町一丁目","35.903131","139.626799","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030002003","仲町三丁目","35.905425","139.629805","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030002001","仲町一丁目","35.904805","139.626176","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030001007","大原七丁目","35.901507","139.642301","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030004001","大門町一丁目","35.906665","139.625687","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030005005","宮町五丁目","35.911175","139.623311","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030005001","宮町一丁目","35.908591","139.625246","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030006002","土手町二丁目","35.914005","139.626496","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030003003","下町三丁目","35.903807","139.630067","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030007002","吉敷町二丁目","35.899876","139.630037","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030005002","宮町二丁目","35.909459","139.627536","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030005004","宮町四丁目","35.911259","139.624702","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030007001","吉敷町一丁目","35.901614","139.629172","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030008003","高鼻町三丁目","35.918520","139.627114","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030005003","宮町三丁目","35.911637","139.627207","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030004003","大門町三丁目","35.907769","139.629413","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030009001","浅間町一丁目","35.904372","139.632888","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030010001","東町一丁目","35.906458","139.633381","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030011003","桜木町三丁目","35.913171","139.618411","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030006003","土手町三丁目","35.916924","139.625301","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030007003","吉敷町三丁目","35.900057","139.633739","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030010002","東町二丁目","35.909465","139.632400","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030009002","浅間町二丁目","35.902197","139.634638","0","3"
"11","埼玉県","11103","さいたま市大宮区","111030006001","土手町一丁目","35.915472","139.622694","0","3"
