"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"09","栃木県","09201","宇都宮市","092010001000","相野沢町","36.646869","139.911701","0","1"
"09","栃木県","09201","宇都宮市","092010002000","明保野町","36.547625","139.867601","0","1"
"09","栃木県","09201","宇都宮市","092010003001","旭一丁目","36.55475","139.883257","0","3"
"09","栃木県","09201","宇都宮市","092010003002","旭二丁目","36.552149","139.88504","0","3"
"09","栃木県","09201","宇都宮市","092010004000","芦沼町","36.670339","139.93672","0","1"
"09","栃木県","09201","宇都宮市","092010005000","飯田町","36.570248","139.807074","0","1"
"09","栃木県","09201","宇都宮市","092010006000","飯山町","36.701530999999996","139.80156499999998","0","1"
"09","栃木県","09201","宇都宮市","092010007000","池上町","36.561173","139.881864","0","1"
"09","栃木県","09201","宇都宮市","092010008000","石井町","36.535889","139.937483","0","1"
"09","栃木県","09201","宇都宮市","092010009000","石那田町","36.666114","139.812554","0","1"
"09","栃木県","09201","宇都宮市","092010010001","泉が丘一丁目","36.560633","139.915942","0","3"
"09","栃木県","09201","宇都宮市","092010010002","泉が丘二丁目","36.562259","139.919424","0","3"
"09","栃木県","09201","宇都宮市","092010010003","泉が丘三丁目","36.563598","139.918014","0","3"
"09","栃木県","09201","宇都宮市","092010010004","泉が丘四丁目","36.565693","139.917636","0","3"
"09","栃木県","09201","宇都宮市","092010010005","泉が丘五丁目","36.568449","139.916995","0","3"
"09","栃木県","09201","宇都宮市","092010010006","泉が丘六丁目","36.569091","139.919471","0","3"
"09","栃木県","09201","宇都宮市","092010010007","泉が丘七丁目","36.566568","139.921085","0","3"
"09","栃木県","09201","宇都宮市","092010011000","泉町","36.563041","139.879125","0","1"
"09","栃木県","09201","宇都宮市","092010012000","板戸町","36.593038","139.982997","0","1"
"09","栃木県","09201","宇都宮市","092010013001","一条一丁目","36.554187","139.880855","0","3"
"09","栃木県","09201","宇都宮市","092010013002","一条二丁目","36.551915","139.881398","0","3"
"09","栃木県","09201","宇都宮市","092010013003","一条三丁目","36.554121","139.877404","0","3"
"09","栃木県","09201","宇都宮市","092010013004","一条四丁目","36.551957","139.877636","0","3"
"09","栃木県","09201","宇都宮市","092010014001","一の沢一丁目","36.568237","139.858266","0","3"
"09","栃木県","09201","宇都宮市","092010014002","一の沢二丁目","36.571431","139.856785","0","3"
"09","栃木県","09201","宇都宮市","092010015000","一ノ沢町","36.576324","139.858758","0","1"
"09","栃木県","09201","宇都宮市","092010016000","一番町","36.559378","139.890206","0","1"
"09","栃木県","09201","宇都宮市","092010017001","今泉一丁目","36.562574","139.897123","0","3"
"09","栃木県","09201","宇都宮市","092010017002","今泉二丁目","36.562729","139.895125","0","3"
"09","栃木県","09201","宇都宮市","092010017003","今泉三丁目","36.565569","139.895226","0","3"
"09","栃木県","09201","宇都宮市","092010017004","今泉四丁目","36.565106","139.898325","0","3"
