"都道府県コード","都道府県名","市区町村コード","市区町村名","大字町丁目コード","大字町丁目名","緯度","経度","原典資料コード","大字・字・丁目区分コード"
"02","青森県","02201","青森市","022010001001","青葉一丁目","40.805836","140.743053","0","3"
"02","青森県","02201","青森市","022010001002","青葉二丁目","40.805128","140.747826","0","3"
"02","青森県","02201","青森市","022010001003","青葉三丁目","40.802571","140.750706","0","3"
"02","青森県","02201","青森市","022010002001","青柳一丁目","40.831485","140.759337","0","3"
"02","青森県","02201","青森市","022010002002","青柳二丁目","40.827375","140.757567","0","3"
"02","青森県","02201","青森市","022010003001","赤坂一丁目","40.799556","140.808672","0","3"
"02","青森県","02201","青森市","022010003002","赤坂二丁目","40.802618","140.811840","0","3"
"02","青森県","02201","青森市","022010004001","旭町一丁目","40.817592","140.736272","0","3"
"02","青森県","02201","青森市","022010004002","旭町二丁目","40.814739","140.738847","0","3"
"02","青森県","02201","青森市","022010004003","旭町三丁目","40.811942","140.739223","0","3"
"02","青森県","02201","青森市","022010005000","大字浅虫","40.892502","140.875119","0","1"
"02","青森県","02201","青森市","022010006000","大字飛鳥","40.874023","140.668149","0","1"
"02","青森県","02201","青森市","022010007000","大字油川","40.849105","140.698048","0","1"
"02","青森県","02201","青森市","022010008000","大字荒川","40.685571","140.777392","0","1"
"02","青森県","02201","青森市","022010009000","大字石江","40.821588","140.687816","0","1"
"02","青森県","02201","青森市","022010010000","大字泉野","40.841090","140.815365","0","1"
"02","青森県","02201","青森市","022010011000","大字岩渡","40.777303","140.667533","0","1"
"02","青森県","02201","青森市","022010012000","大字牛館","40.780784","140.749274","0","1"
"02","青森県","02201","青森市","022010013000","大字後潟","40.937251","140.639019","0","1"
"02","青森県","02201","青森市","022010014000","大字後萢","40.825473","140.815830","0","1"
"02","青森県","02201","青森市","022010015000","大字内真部","40.908828","140.661005","0","1"
"02","青森県","02201","青森市","022010016000","大字浦町","40.811520","140.754038","0","1"
"02","青森県","02201","青森市","022010017000","大字上野","40.775927","140.744398","0","1"
"02","青森県","02201","青森市","022010018000","大字大谷","40.742287","140.670349","0","1"
"02","青森県","02201","青森市","022010019000","大字大野","40.803804","140.733460","0","1"
"02","青森県","02201","青森市","022010020000","大字大別内","40.732928","140.747356","0","1"
"02","青森県","02201","青森市","022010021000","大字大矢沢","40.778139","140.778338","0","1"
"02","青森県","02201","青森市","022010022000","大字岡町","40.841758","140.671577","0","1"
"02","青森県","02201","青森市","022010023000","大字奥内","40.889292","140.664667","0","1"
"02","青森県","02201","青森市","022010024000","大字小畑沢","40.726525","140.759629","0","1"
"02","青森県","02201","青森市","022010025000","大字金浜","40.772007","140.731497","0","1"
"02","青森県","02201","青森市","022010026000","大字久栗坂","40.869897","140.857636","0","1"
"02","青森県","02201","青森市","022010027000","大字桑原","40.821054","140.810501","0","1"
"02","青森県","02201","青森市","022010028000","大字合子沢","40.738072","140.769136","0","1"
"02","青森県","02201","青森市","022010029000","大字幸畑","40.777337","140.792705","0","1"
"02","青森県","02201","青森市","022010030000","大字小館","40.738794","140.714556","0","1"
"02","青森県","02201","青森市","022010031000","大字小橋","40.921512","140.647028","0","1"
"02","青森県","02201","青森市","022010032000","大字駒込","40.737030","140.841561","0","1"
"02","青森県","02201","青森市","022010033000","大字小柳","40.817394","140.801254","0","1"
"02","青森県","02201","青森市","022010034000","大字沢山","40.790492","140.830382","0","1"
"02","青森県","02201","青森市","022010035000","大字三内","40.810829","140.689088","0","1"
"02","青森県","02201","青森市","022010036000","大字三本木","40.830557","140.845087","0","1"
"02","青森県","02201","青森市","022010037000","大字四戸橋","40.947544","140.638196","0","1"
"02","青森県","02201","青森市","022010038000","大字清水","40.904492","140.657313","0","1"
"02","青森県","02201","青森市","022010039000","大字新城","40.816560","140.665285","0","1"
"02","青森県","02201","青森市","022010040000","大字新町野","40.776910","140.752235","0","1"
"02","青森県","02201","青森市","022010041000","大字諏訪沢","40.816323","140.827583","0","1"
"02","青森県","02201","青森市","022010042000","大字瀬戸子","40.880638","140.664587","0","1"
"02","青森県","02201","青森市","022010043000","大字平新田","40.831258","140.816845","0","1"
"02","青森県","02201","青森市","022010044000","大字高田","40.764128","140.711512","0","1"
"02","青森県","02201","青森市","022010045000","大字滝沢","40.819813","140.875110","0","1"
"02","青森県","02201","青森市","022010046000","大字田茂木野","40.760668","140.800537","0","1"
"02","青森県","02201","青森市","022010047000","大字田屋敷","40.805391","140.788590","0","1"
"02","青森県","02201","青森市","022010048000","大字築木館","40.817089","140.846918","0","1"
"02","青森県","02201","青森市","022010049000","大字筒井","40.796928","140.771612","0","1"
"02","青森県","02201","青森市","022010050000","大字鶴ケ坂","40.786081","140.628106","0","1"
"02","青森県","02201","青森市","022010051000","大字戸門","40.811817","140.642977","0","1"
"02","青森県","02201","青森市","022010052000","大字戸崎","40.813497","140.811036","0","1"
"02","青森県","02201","青森市","022010053000","大字戸山","40.807474","140.809032","0","1"
"02","青森県","02201","青森市","022010054000","大字浪館","40.809889","140.710745","0","1"
"02","青森県","02201","青森市","022010055000","大字西滝","40.825491","140.715254","0","1"
"02","青森県","02201","青森市","022010056000","大字西田沢","40.857463","140.655706","0","1"
"02","青森県","02201","青森市","022010057000","大字新田","40.834835","140.694899","0","1"
"02","青森県","02201","青森市","022010058000","大字入内","40.702123","140.732628","0","1"
"02","青森県","02201","青森市","022010059000","大字野木","40.753443","140.746394","0","1"
"02","青森県","02201","青森市","022010060000","大字野沢","40.728057","140.736756","0","1"
"02","青森県","02201","青森市","022010061000","大字野尻","40.785391","140.766341","0","1"
"02","青森県","02201","青森市","022010062000","大字野内","40.857210","140.828355","0","1"
"02","青森県","02201","青森市","022010063000","大字羽白","40.848954","140.668822","0","1"
"02","青森県","02201","青森市","022010064000","大字浜田","40.801012","140.760706","0","1"
"02","青森県","02201","青森市","022010065000","大字浜館","40.807546","140.794711","0","1"
"02","青森県","02201","青森市","022010066000","大字原別","40.837423","140.813122","0","1"
"02","青森県","02201","青森市","022010067000","大字左堰","40.914536","140.650478","0","1"
"02","青森県","02201","青森市","022010068000","大字古館","40.801743","140.784279","0","1"
